"","x"
"1","Phloeomys_cumingi_FMNH198472"
"2","Phloeomys_pallidus_JEC43"
"3","Carpomys_melanurus_FMNH198723"
"4","Musseromys_anacuao_FMNH209523"
"5","Crateromys_heaneyi_KU165014"
"6","Batomys_russatus_KU165776"
"7","Rattus_argentiventer_LSUMZ38199"
"8","Rattus_hoffmanni_LSUMZ39187"
"9","Rattus_exulans_sample1"
"10","Tarsomys_apoensis_KU167148"
"11","Limnomys_sibuanus_FMNH147948"
"12","Rattus_xanthurus_LSUMZ39196"
"13","Rattus_villosissimus_sample1"
"14","Rattus_colletti_RAT25"
"15","Rattus_tunneyi_RAT130"
"16","Rattus_lutreolus_sample2"
"17","Rattus_leucopus_sample1"
"18","Rattus_praetor_sample1"
"19","Rattus_morotaiensis_ASAM29"
"20","Kadarsanomys_sodyi_MZB-Sample"
"21","Nesokia_indica_ABTC117074"
"22","Bandicota_indica_ABTC119185"
"23","Taeromys_celebensis_NMVZ20637"
"24","Paruromys_dominator_JAE4870"
"25","Lenomys_meyeri_LSUMZ39079"
"26","Eropeplus_canus_NMVZ21733"
"27","Taeromys_hamatus_NMVZ63317"
"28","Taeromys_taerae_LSUMZ39224"
"29","Taeromys_punicans_MVZ225815"
"30","Taeromys_callitrichus_LSUMZ37153"
"31","Bunomys_torajae_NMVZ21736"
"32","Bunomys_chrysocomus_JAE4867"
"33","Bunomys_andrewsi_sample1"
"34","Halmaheramys_bokimekot_33262-WD225"
"35","Papagomys_armandvillei_WAMM32592"
"36","Bullimus_bagobus_JAE1712"
"37","Sundamys_annandalei_YS118"
"38","Sundamys_muelleri_JAE1283"
"39","Berylmys_bowersi_ABTC116431"
"40","Berylmys_mackenziei_ABTC116402"
"41","Saxatilomys_paulinae_ABTC116266"
"42","Niviventer_lepturus_JAE4746"
"43","Niviventer_rapit_LSUMZ38196"
"44","Niviventer_bukit_LSUMZ38136"
"45","Anonymomys_mindorensis_FMNH2222010"
"46","Leopoldomys_sabanus_Z25191"
"47","Margaretamys_parvus_NMVZ21833"
"48","Margaretamys_christinae_TMar1"
"49","Paucidentomys_vermidax_Z21914"
"50","Echiothrix_centrosa_Z27993"
"51","Tateomys_rhinogradoides_Z21785"
"52","Melasmothrix_naso_Z21808"
"53","Tateomys_macrocercus_Z21834"
"54","Gracilimus_radix_Z08508"
"55","Waiomys_mamasae_Z20624"
"56","Sommeromys_macrorhinos_Z21740"
"57","Hyorhinomys_stuempkei_JAE4661"
"58","Maxomys_surifer_JAE3632"
"59","Maxomys_musschenbroekii_sample1"
"60","Crunomys_melanius_KU168558"
"61","Crunomys_celebensis_Z21894"
"62","Zyzomys_pedunculatus_Z34925"
"63","Zyzomys_woodwardi_WAMM21724"
"64","Zyzomys_argurus_ABTC61630"
"65","Pseudomys_oralis_RAT7"
"66","Pseudomys_shortridgei_Z25113"
"67","Pseudomys_desertor_ABTC41464"
"68","Pseudomys_higginsi_UC1421"
"69","Pseudomys_bolami_ABTC107389"
"70","Pseudomys_novaehollandiae_ABTC08140"
"71","Pseudomys_delicatulus_U1509"
"72","Pseudomys_hermannsburgensis_ABTC08067"
"73","Mastacomys_fuscus_M13957"
"74","Pseudomys_australis_M25541"
"75","Pseudomys_nanus_U1448"
"76","Pseudomys_gracilicaudatus_ABTC08163"
"77","Pseudomys_fumeus_ABTC08168"
"78","Pseudomys_apodemoides_M16672"
"79","Pseudomys_albocinereus_WAMM18855"
"80","Pseudomys_occidentalis_ABTC08043"
"81","Notomys_mitchellii_M21518"
"82","Notomys_fuscus_M22830"
"83","Notomys_aquilo_M-32455"
"84","Notomys_alexis_U1308"
"85","Notomys_cervinus_M22857"
"86","Leggadina_forresti_WAMM62323"
"87","Uromys_caudimaculatus_DT10Uc01"
"88","Solomys_salebrosus_ABTC64864"
"89","Melomys_rufescens_ABTC44798"
"90","Mesembriomys_macrurus_ABTC7337"
"91","Mesembriomys_gouldii_ABTC7449"
"92","Conilurus_penicillatus_M14056"
"93","Conilurus_albipes_NMV-c7585"
"94","Leporillus_conditor_ABTC13335"
"95","Paraleptomys_wilhelmina_H126-ABTC133716"
"96","Mirzamys_louiseae_ABTC133754"
"97","Leptomys_elegans_ABTC45741"
"98","Xeromys_myoides_ABTC30709"
"99","Pseudohydromys_pumehanae_ABTC43920"
"100","Microhydromys_richardsoni_ANWCM35851"
"101","Parahydromys_asper_ABTC45798"
"102","Hydromys_chrysogaster_Z5248"
"103","Crossomys_moncktoni_ABTC46614"
"104","Mallomys_rothschildi_ABTC47402"
"105","Pogonomelomys_mayeri_AMM21849"
"106","Abeomelomys_sevia_KUM161018"
"107","Xenuromys_barbatus_ABTC129204"
"108","Mammelomys_lanosus_ABTC47208"
"109","Coccymys_ruemmleri_ABTC49489"
"110","Hyomys_goliath_ABTC42697"
"111","Pogonomys_macrourus_ABTC43144"
"112","Chiruromys_vates_ABTC43096"
"113","Macruromys_major_ABTC43909"
"114","Lorentzimys_nouhuysi_ABTC-46314"
"115","Anisomys_imitator_ABTC45107"
"116","Chrotomys_whiteheadi_KU168311"
"117","Chrotomys_mindorensis_JAE520"
"118","Rhynchomys_isarogensis_JAE2195"
"119","Archboldomys_luzonensis_EAR1826"
"120","Apomys_lubangensis_JAE169"
"121","Haeromys_minahassae_JAE4996"
"122","Chiropodomys_gliroides_Z25153"
"123","Otomys_tropicalis_LSUMZ37841"
"124","Otomys_denti_LSUMZ37840"
"125","Lemniscomys_striatus_TCD4711"
"126","Arvicanthus_neumanni_FMNH158037"
"127","Pelomys_minor_FMNH219213"
"128","Pelomys_isseli_FMNH137886"
"129","Mylomys_dybowskii_MNHN1997072"
"130","Rhabdomys_pumilio_MNHN1995065"
"131","Dasymys_montanus_FMNH144389"
"132","Dasymys_incomtus_LSUMZ37702"
"133","Aethomys_hindei_MVZ196257"
"134","Aethomys_nyikae_FMNH196708"
"135","Thamnomys_venustus_LSUMZ37935"
"136","Thamnomys_kempi_TCD4437"
"137","Grammomys_dryas_LSUMZ37716"
"138","Thallomys_paedulcus_FMNH158089"
"139","Micaelemys_namaquensis_MNHN1987009"
"140","Stochomys_longicaudatus_MNHN1999459"
"141","Dephomys_defua_MNHNR24062"
"142","Hybomys_univittatus_TCD4026"
"143","Hybomys_planifrons_R24117"
"144","Oenomys_hypoxanthus_LSUMZ37838"
"145","Vandeleuria_oleracea_ABTC116404"
"146","Malacomys_longipes_TCD4253"
"147","Apodemus_sylvaticus_SMG3823"
"148","Myomyscus_verreauxii_MNHN1999102"
"149","Zelotomys_woosnami_TTU-M115260"
"150","Colomys_goslingi_TCD4175"
"151","Mastomys_natalensis_T4162"
"152","Praomys_jacksoni_REC31"
"153","Hylomyscus_stella_LSUMZ37742"
"154","Hylomyscus_vulcanorum_TCD4382"
"155","Heimyscus_fumosus_FMNH167810"
"156","Mus_pahari_10460X1"
"157","Mus_musculoides_LSUMZ37820"
"158","Mus_minutoides_10460X2"
"159","Mus_platythrix_10460X13"
"160","Mus_cookii_10460X3"
"161","Mus_cervicolor_10460X10"
"162","Mus_caroli_10460X9"
"163","Mus_musculus-reference_10460X5"
